No,Country.or.Area,ISO.alpha3.Code,M49.Code,Region.1,Region.2,Continent,Region.3
1,Afghanistan,AFG,4,Southern Asia,Asia,Asia,Asia/Oceania
2,Aland Islands,ALA,248,Northern Europe,Europe,Europe,Europe
3,Albania,ALB,8,Southern Europe,Europe,Europe,Europe
4,Algeria,DZA,12,Northern Africa,Africa,Africa,Africa/Mid.East
5,American Samoa,ASM,16,Polynesia,Oceania,Oceania,Asia/Oceania
6,Andorra,AND,20,Southern Europe,Europe,Europe,Europe
7,Angola,AGO,24,Middle Africa,Africa,Africa,Africa/Mid.East
8,Anguilla,AIA,660,Caribbean,Latin America and Caribbean,North America,L.Am/Carib.
9,Antarctica,ATA,10,Antarctica,Antarctica,Antarctica,L.Am/Carib.
10,Antigua and Barbuda,ATG,28,Caribbean,Latin America and Caribbean,North America,L.Am/Carib.
11,Argentina,ARG,32,South America,Latin America and Caribbean,South America,L.Am/Carib.
12,Armenia,ARM,51,Western Asia,Asia,Asia,Asia/Oceania
13,Aruba,ABW,533,Caribbean,Latin America and Caribbean,North America,L.Am/Carib.
14,Australia,AUS,36,Australia and New Zealand,Oceania,Oceania,Asia/Oceania
15,Austria,AUT,40,Western Europe,Europe,Europe,Europe
16,Azerbaijan,AZE,31,Western Asia,Asia,Asia,Asia/Oceania
17,Bahamas,BHS,44,Caribbean,Latin America and Caribbean,North America,L.Am/Carib.
18,Bahrain,BHR,48,Western Asia,Middle East,Asia,Africa/Mid.East
19,Bangladesh,BGD,50,Southern Asia,Asia,Asia,Asia/Oceania
20,Barbados,BRB,52,Caribbean,Latin America and Caribbean,North America,L.Am/Carib.
21,Belarus,BLR,112,Eastern Europe,Europe,Europe,Europe
22,Belgium,BEL,56,Western Europe,Europe,Europe,Europe
23,Belize,BLZ,84,Central America,Latin America and Caribbean,North America,L.Am/Carib.
24,Benin,BEN,204,Western Africa,Africa,Africa,Africa/Mid.East
25,Bermuda,BMU,60,Northern America,North America,North America,L.Am/Carib.
26,Bhutan,BTN,64,Southern Asia,Asia,Asia,Asia/Oceania
27,Bolivia (Plurinational State of),BOL,68,South America,Latin America and Caribbean,South America,L.Am/Carib.
28,"Bonaire, Sint Eustatius and Saba",BES,535,Caribbean,Latin America and Caribbean,North America,L.Am/Carib.
29,Bosnia and Herzegovina,BIH,70,Southern Europe,Europe,Europe,Europe
30,Botswana,BWA,72,Southern Africa,Africa,Africa,Africa/Mid.East
31,Bouvet Island,BVT,74,South America,Latin America and Caribbean,South America,L.Am/Carib.
32,Brazil,BRA,76,South America,Latin America and Caribbean,South America,L.Am/Carib.
33,British Indian Ocean Territory,IOT,86,Eastern Africa,Africa,Africa,Africa/Mid.East
34,British Virgin Islands,VGB,92,Caribbean,Latin America and Caribbean,North America,L.Am/Carib.
35,Brunei,BRN,96,South-eastern Asia,Asia,Asia,Asia/Oceania
36,Bulgaria,BGR,100,Eastern Europe,Europe,Europe,Europe
37,Burkina Faso,BFA,854,Western Africa,Africa,Africa,Africa/Mid.East
38,Burundi,BDI,108,Eastern Africa,Africa,Africa,Africa/Mid.East
